Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
A0A0B4J2H0	P04209	28458		IGHV1-69-2	P04209	PDB_5C2B:0114:LC
A0A5B4	A0A5B4			TCRBV2S1	TCRBV2S1	17268555:0114:LC
A0A5B9	A0A5B9	28638	28638	TRBC2	TRBC2	16505140:0114:LC
A0A5B9	P01848	28638	28755	TRBC2	TRAC	20921281:0114:LC|16505140:0114:LC|15837811:0114:LC
A0A5B9	P30512	28638	3105	TRBC2	HLA-A	15837811:0114:LC
A0A5B9	P78358	28638		TRBC2	CTAG1A|CTAG1B	15837811:0114:LC
A0AVT1	O15205	55236	10537	UBA6	UBD	22427669:0415:LC|22427669:0096:LC|20975683:0018:LC
A0AVT1	P0CG48	55236	7316	UBA6	UBC	17597759:0808:LC|17597759:0007:LC|22427669:0096:LC|17597759:0096:LC|22427669:0415:LC
A0AVT1	Q9H832	55236	65264	UBA6	UBE2Z	20975683:0018:LC|24528925:0415:LC|22427669:0415:LC|19250909:0415:LC|20975683:0415:LC
A0FGR8	A0FGR8	57488	57488	ESYT2	ESYT2	24847877:0114:LC|24847877:1246:LC|24373768:0114:LC
A0JD37	A0JD37			HDV103S1	HDV103S1	9461220:0114:LC
A0JLT2	Q9BTT4	219541	84246	MED19	MED10	15175163:0007:LC|24882805:0040:LC|15175163:0226:LC|15175163:0004:LC
A1L4K1	Q06787	123722	2332	FSD2	FMR1	25416956:1356:HT|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|24722188:0018:LC
A1Z1Q3	A1Z1Q3	140733	140733	MACROD2	MACROD2	23474712:0114:LC
A2IXV5	P17693		3135	MIR|CL-10	HLA-G	12853576:0096:LC|10190906:0492:LC|15670976:0492:LC|12853576:0492:LC|9531263:0492:LC
A2IXV5	P29350		5777	MIR|CL-10	PTPN6	9842885:0492:LC|9842885:0004:LC|9531263:0492:LC|9531263:0004:LC
A2IXV5	P30512		3105	MIR|CL-10	HLA-A	12853576:0492:LC|9531263:0492:LC
A2IXV5	Q31612		3106	MIR|CL-10	HLA-B	12853576:0096:LC|12853576:0492:LC|9531263:0492:LC
A2NI60	A2NI60			A2NI60	A2NI60	18400753:0114:LC
A2RUC4	A2RUC4	129450	129450	TYW5	TYW5	20972222:0114:LC
A4D1F7	O14713		9270	CCM1	ITGB1BP1	11854171:0096:LC|11741838:0018:LC|11854171:0024:LC|11854171:0004:LC|11741838:0096:LC|11854171:0018:LC|11741838:0004:LC
A4D2B0	A4D2B0	255374	255374	MBLAC1	MBLAC1	PDB_4V0H:0114:LC
A4UGR9	O76041	129446	10529	XIRP2	NEBL	23985323:0114:LC
A5D8V6	O14964	55048	9146	VPS37C	HGS	25416956:0397:HT|15509564:0492:LC|25416956:1112:HT|15509564:0018:LC|25416956:0018:HT|25416956:1356:HT
A5D8V6	Q53EZ4	55048	55165	VPS37C	CEP55	17853893:0004:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|25416956:1356:HT|17853893:0018:LC|17853893:0492:LC
A5D8V6	Q99816	55048	7251	VPS37C	TSG101	15509564:0018:LC|15509564:0492:LC|25416956:1112:HT|25416956:0397:HT|15509564:0493:LC|25416956:0018:HT|15509564:0096:LC|25416956:1356:HT
A5YKK6	A5YKK6	23019	23019	CNOT1	CNOT1	24768538:0114:LC|22977175:0114:LC|24736845:0114:LC
A5YKK6	O75175	23019	4849	CNOT1	CNOT3	24121232:0114:LC|16778766:0004:LC|16778766:0493:LC|16778766:0006:LC
A5YKK6	O95628	23019	4850	CNOT1	CNOT4	10637334:0018:LC|11823428:0018:LC
A5YKK6	P26196	23019	1656	CNOT1	DDX6	24768538:0114:LC|24768540:0114:LC|24768540:0004:LC|26489469:0114:LC|24768540:0096:LC
A5YKK6	P26651	23019	7538	CNOT1	ZFP36	23644599:0065:LC|23644599:0096:LC|23644599:0114:LC
A5YKK6	Q8WY41	23019	340719	CNOT1	NANOS1	24736845:0096:LC|24736845:0114:LC|24736845:0004:LC
A5YKK6	Q92600	23019	9125	CNOT1	RQCD1	24768540:0096:LC|24768538:0114:LC|24768540:0114:LC|24768540:0004:LC
A5YKK6	Q9NRA8	23019	56478	CNOT1	EIF4ENIF1	26489469:0114:LC
A5YKK6	Q9NZN8	23019	4848	CNOT1	CNOT2	24121232:0114:LC|16778766:0493:LC|10637334:0493:LC|16778766:0004:LC|10637334:0018:LC|16778766:0018:LC|16778766:0006:LC
A5YKK6	Q9UFF9	23019	9337	CNOT1	CNOT8	16778766:0493:LC|16778766:0006:LC|10637334:0493:LC|16778766:0004:LC|10637334:0018:LC|16778766:0018:LC
A6NCL1	A6NCL1	647309	647309	GMNC	GMNC	26527144:0114:LC
A6ND01	A6ND01	390243	390243	IZUMO1R	IZUMO1R	27309808:0114:LC|27309818:0114:LC
A6ND01	Q8IYV9	390243	284359	IZUMO1R	IZUMO1	27309808:0114:LC|27309818:0114:LC
A6NK44	A6NK44	392465	392465	GLOD5	GLOD5	PDB_3ZW5:0114:LC
A6NLU0	A6NLU0	342931	342931	RFPL4A	RFPL4A	16364311:0096:LC|16364311:0114:LC
A7KAX9	A7KAX9	9743	9743	ARHGAP32	ARHGAP32	PDB_3IUG:0114:LC
