Ensembl Gene ID	Chromosome Name	Associated Gene Name	Gene type	EntrezGene ID	HGNC ID(s)
ENSG00000252303	CHR_HG2128_PATCH	RNU6-280P	snRNA		HGNC:47243
ENSG00000281771	CHR_HG2128_PATCH	Y_RNA	misc_RNA		
ENSG00000281256	CHR_HG2191_PATCH	RP11-222G7.2	lincRNA		
ENSG00000283272	CHR_HG2022_PATCH	Clostridiales-1	sRNA		
ENSG00000280864	CHR_HG126_PATCH	RP11-654C22.2	lincRNA		
ENSG00000280792	CHR_HG2233_PATCH	RP11-315F22.1	lincRNA		
ENSG00000282878	CHR_HG986_PATCH	RP11-399E6.1	lincRNA		
ENSG00000283276	CHR_HG2022_PATCH	ABBA01000934.1	unprocessed_pseudogene		
ENSG00000281822	CHR_HG126_PATCH	RNU1-62P	snRNA		HGNC:48404
ENSG00000281384	CHR_HG2233_PATCH	AC093802.1	lincRNA		
ENSG00000280505	CHR_HG126_PATCH	RP11-654C22.1	processed_pseudogene		
ENSG00000281764	CHR_HG986_PATCH	RP11-399E6.2	processed_pseudogene		
ENSG00000281316	CHR_HG2058_PATCH	DPPA2P2	processed_pseudogene		HGNC:44627
ENSG00000280963	CHR_HG1832_PATCH	SERTAD4-AS1	antisense		HGNC:32019
ENSG00000280775	CHR_HG126_PATCH	RNA5SP136	rRNA		HGNC:43036
ENSG00000281876	CHR_HG986_PATCH	RP11-399E6.4	antisense	101929901	
ENSG00000281766	CHR_HG126_PATCH	RYBP	protein_coding	23429	HGNC:10480
ENSG00000281518	CHR_HG986_PATCH	FOXO6	protein_coding	100132074	HGNC:24814
ENSG00000281614	CHR_HG2232_PATCH	INPP5D	protein_coding	3635	HGNC:6079
ENSG00000280584	CHR_HG2030_PATCH	OBP2B	protein_coding	29989	HGNC:23381
ENSG00000281230	CHR_HG1832_PATCH	SERTAD4	protein_coding	56256	HGNC:25236
ENSG00000281917	CHR_HG2104_PATCH	SLC16A1	protein_coding	6566	HGNC:10922
ENSG00000281067	CHR_HG1832_PATCH	ST13P19	processed_pseudogene		HGNC:38862
