Gene ID	UniProt/TrEMBL Accession
ENSG00000281766	
ENSG00000281518	
ENSG00000281518	
ENSG00000281614	
ENSG00000281614	
ENSG00000281614	H0Y5Q9
ENSG00000281614	H7C403
ENSG00000281614	R4GMN8
ENSG00000280584	
ENSG00000280584	
ENSG00000280584	
ENSG00000280584	
ENSG00000281230	
ENSG00000281917	A0A024R0H1
ENSG00000281917	Q5T8R5
ENSG00000281917	Q5T8R3
ENSG00000281917	Q5T8R4
ENSG00000281917	A0A024R0H1
ENSG00000281813	
ENSG00000281813	
ENSG00000281813	
ENSG00000281813	
ENSG00000281813	
ENSG00000280680	
ENSG00000280680	
ENSG00000280680	
ENSG00000280680	
ENSG00000280680	
ENSG00000280680	
ENSG00000280680	A0A075B6R5
ENSG00000280680	F5H2Y1
ENSG00000280680	B1AK61
ENSG00000281309	
ENSG00000281877	E9PPC1
ENSG00000281877	E9PPN6
ENSG00000281877	
ENSG00000281877	E9PGT3
ENSG00000281877	
ENSG00000281877	E9PMM7
ENSG00000281877	
ENSG00000281877	A6NND1
ENSG00000281877	E9PAN7
ENSG00000281877	
ENSG00000281877	Q5SVM6
ENSG00000281877	Q5SVM7
ENSG00000281434	H7C2W5
ENSG00000281434	A0A024R4B3
ENSG00000281434	E7ESZ7
ENSG00000281434	C9J6X0
ENSG00000281434	H7C1Y7
ENSG00000281434	H7C2X4
ENSG00000281434	
ENSG00000281434	F8WEH0
ENSG00000281434	Q8N1B9
ENSG00000281434	A0A087WXC5
ENSG00000283034	
ENSG00000283034	
ENSG00000283034	A0A087X0J9
ENSG00000281459	
ENSG00000281022	A0A024R8C5
ENSG00000281022	A0A024R8C5
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281022	
ENSG00000281626	
ENSG00000280549	
ENSG00000280908	B1AQ67
ENSG00000280908	
ENSG00000281894	
ENSG00000281894	
ENSG00000281894	
ENSG00000281894	
ENSG00000281894	E7EMM9
ENSG00000281894	C9J6L6
ENSG00000281894	H7BZE7
ENSG00000281835	A0A096LPF6
ENSG00000280858	
ENSG00000280858	
ENSG00000280858	
ENSG00000280949	
ENSG00000281540	A0A024RAC5
ENSG00000281540	A0A024RAC5
ENSG00000280661	C9J3N9
ENSG00000280661	C9J3D4
ENSG00000280661	
ENSG00000280627	E5KRX5
ENSG00000280627	
ENSG00000281089	C9J8C6
ENSG00000281089	
